企業名,ホームページURL,URL候補,企業ID,納品URL,ステータス,エラー詳細,スクリーンショットパス
株式会社Rezard,https://rezard-co.jp/,https://rezard.jp|https://rezard.shop|https://www.rezardfilm.com,rezard-co,https://casual-interview-dev.brainverse-ai.com/rezard-co,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_rezard-co_jp_20260512_124105.jpg
茨城トヨタ自動車株式会社,https://www.ibaraki-toyota.jp,https://www.ibaraki-toyota.jp|https://toyota.jp|https://www.corolla-si.com|https://ibaraki-toyopet-saiyo.jp,ibaraki-toyota,https://casual-interview-dev.brainverse-ai.com/ibaraki-toyota,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_ibaraki-toyota_jp_20260512_112250.jpg
株式会社マーストーケンソリューション,https://www.mars-tohken.co.jp,https://www.mars-tohken.co.jp,mars-tohken,https://casual-interview-dev.brainverse-ai.com/mars-tohken,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_mars-tohken_co_jp_20260512_075217.jpg
冨士機材株式会社,https://www.fujikizai-g.co.jp,https://www.fujikizai-g.co.jp|https://ni-works.jp|https://www.home-eng.co.jp,fujikizai-g,https://casual-interview-dev.brainverse-ai.com/fujikizai-g,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_fujikizai-g_co_jp_20260512_132444.jpg
川崎信用金庫,https://www.kawashin.co.jp,https://www.kawashin.co.jp|https://www11.ib.shinkin-ib.jp|https://www.kawashin-saiyo.com|https://www.city.kawasaki.jp|https://e-town.ne.jp,kawashin,https://casual-interview-dev.brainverse-ai.com/kawashin,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_kawashin_co_jp_20260512_113142.jpg
レジェンダ・コーポレーション株式会社,https://www.leggenda.co.jp,https://www.leggenda.co.jp|https://careers.leggenda.co.jp,leggenda,https://casual-interview-dev.brainverse-ai.com/leggenda,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_leggenda_co_jp_20260512_113702.jpg
西武建設株式会社,https://www.seibu-const.co.jp,https://www.seibu-const.co.jp,seibu-const,https://casual-interview-dev.brainverse-ai.com/seibu-const,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_seibu-const_co_jp_20260512_034325.jpg
株式会社デザインネットワーク,https://www.design-network.co.jp,https://www.design-network.co.jp|https://dn-recruit.co.jp|https://dn-okinawa.com,design-network,https://casual-interview-dev.brainverse-ai.com/design-network,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_design-network_co_jp_20260512_114158.jpg
一般財団法人ボーケン品質評価機構,https://www.boken.or.jp,https://www.boken.or.jp,boken,https://casual-interview-dev.brainverse-ai.com/boken,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_boken_or_jp_20260512_034737.jpg
株式会社アーベルソフト,https://www.abelsoft.co.jp,https://www.abelsoft.co.jp|http://www.abelsoftware-jp.com/main.html|https://iotbank.co.jp,abelsoft,https://casual-interview-dev.brainverse-ai.com/abelsoft,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_abelsoft_co_jp_20260512_114718.jpg
株式会社ナガオ,https://nagao-group.co.jp,https://nagao-group.co.jp|https://www.nagaotrading.com|https://longtail-nagao.com|https://www.n-nagao.co.jp|https://nagaosh.com,nagao-group,https://casual-interview-dev.brainverse-ai.com/nagao-group,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_nagao-group_co_jp_20260512_133051.jpg
株式会社アクセル・モード,https://www.axcel-mode.co.jp,https://www.axcel-mode.co.jp|https://page.line.me/lul2809m,axcel-mode,https://casual-interview-dev.brainverse-ai.com/axcel-mode,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_axcel-mode_co_jp_20260512_125152.jpg
株式会社ホンダカーズ久喜,https://www.hondacars-kuki.co.jp,https://www.hondacars-kuki.co.jp|https://shopsearch.honda.co.jp,hondacars-kuki,https://casual-interview-dev.brainverse-ai.com/hondacars-kuki,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_hondacars-kuki_co_jp_20260512_115920.jpg
アオイ環境株式会社,https://aoikankyo.co.jp,https://aoikankyo.co.jp|http://www.aoi-inc.co.jp/action_plan.htm,aoikankyo,https://casual-interview-dev.brainverse-ai.com/aoikankyo,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_aoikankyo_co_jp_20260512_120404.jpg
レキオスソフト株式会社,https://www.lequiossoft.co.jp,https://www.lequiossoft.co.jp,lequiossoft,https://casual-interview-dev.brainverse-ai.com/lequiossoft,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_lequiossoft_co_jp_20260512_062509.jpg
株式会社グラノプト,https://www.granopt.jp,https://www.granopt.jp|https://www.mgc.co.jp|https://www.pref.akita.lg.jp,granopt,https://casual-interview-dev.brainverse-ai.com/granopt,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_granopt_jp_20260512_120917.jpg
ブロードマインド株式会社,,,ブロードマインド,,未処理,,
株式会社4976ホールディングス,,,4976ホールディングス,,未処理,,
